year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type
2013,BMW,3,176350.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,10998,9.0,6.0,2.0,4.0,V-Engine
2018,BMW,M4,20800.0,Coupe,Manual,RWD,green,black,4,2,gasoline,94777,13.5,9.3,2.4,6.0,Inline
2007,BMW,Z4,17703.0,Hatchback,Manual,RWD,red,black,5,2,gasoline,95800,14.5,9.0,2.4,6.0,Inline
2017,BMW,3,63000.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,34999,10.8,8.7,2.4,4.0,Inline
2010,BMW,X3,179823.0,SUV,Automatic,4X4,black,black,5,4,gasoline,5990,12.2,8.3,2.4,6.0,Inline
2018,BMW,3,80211.0,Sedan,Automatic,4X4,silver,black,5,4,gasoline,30990,10.2,7.2,2.4,4.0,Inline
2011,BMW,3,214079.0,Coupe,Automatic,4X4,white,black,5,2,gasoline,7950,12.3,7.6,3.0,4.0,Other
2013,BMW,528I,165134.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,13588,9.0,6.0,2.4,4.0,Inline
2015,BMW,X3,172981.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,14910,9.8,7.1,2.4,4.0,Inline
2015,BMW,X1,129846.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,16199,10.6,7.2,2.4,4.0,Inline
2023,BMW,X5,12878.0,SUV,Automatic,4X4,white,brown,5,4,gasoline,91040,10.8,8.7,3.0,6.0,Inline
2015,BMW,320xDrive,127171.0,Sedan,Automatic,4X4,black,red,5,4,gasoline,16880,10.3,6.7,2.4,4.0,Inline
2015,BMW,X3,171508.0,SUV,Automatic,4X4,black,black,5,4,diesel,16950,10.8,8.7,2.4,4.0,Inline
2014,BMW,X1,87590.0,SUV,Automatic,4X4,blue,beige,5,4,gasoline,17195,9.1,6.2,2.0,4.0,Inline
2017,BMW,3,156738.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,18950,10.5,7.4,2.4,4.0,Inline
2014,BMW,X3,127600.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,18980,9.8,7.1,2.0,4.0,Other
2016,BMW,X1,122000.0,SUV,Automatic,4X4,blue,brown,5,4,gasoline,20777,10.7,7.4,2.4,4.0,Inline
2014,BMW,4-Series,103490.0,Coupe,Automatic,4X4,white,black,5,2,gasoline,20800,10.8,8.7,2.4,4.0,Inline
2014,BMW,X3,96549.0,SUV,Automatic,4X4,white,black,5,4,gasoline,20910,11.1,7.7,2.4,6.0,Inline
2015,BMW,5,124678.0,Sedan,Automatic,4X4,blue,beige,5,4,gasoline,20910,10.8,8.7,2.4,4.0,Inline
2019,BMW,M4,40872.0,Coupe,Automatic,RWD,green,black,5,2,gasoline,85800,14.3,10.4,2.4,6.0,Inline
2017,BMW,X3,153000.0,SUV,Automatic,4X4,white,beige,5,4,gasoline,21990,11.1,8.5,2.0,4.0,Other
2016,BMW,4-Series,153227.0,Sedan,Automatic,4X4,blue,beige,5,4,gasoline,22985,10.8,8.7,2.4,6.0,Inline
2016,BMW,X3,126340.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,23688,11.2,8.4,2.0,4.0,Inline
2014,BMW,X5,166653.0,SUV,Automatic,4X4,black,beige,5,4,diesel,23888,10.8,8.7,2.4,6.0,Inline
2016,BMW,X1,81539.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,23895,10.7,7.4,2.0,4.0,Inline
2018,BMW,X1,113641.0,Wagon,Automatic,4X4,gray,black,5,4,gasoline,23995,10.8,8.7,2.0,4.0,Inline
2016,BMW,X1,67101.0,SUV,Automatic,4X4,white,black,5,4,gasoline,24488,10.7,7.4,2.0,4.0,Other
2016,BMW,X1,76790.0,Wagon,Automatic,4X4,white,black,5,2,gasoline,24494,10.7,7.4,2.0,4.0,Inline
2015,BMW,X5,184759.0,SUV,Automatic,4X4,gray,black,7,4,gasoline,24500,13.0,8.9,2.4,6.0,Inline
2019,BMW,330I,53895.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,42981,10.8,8.7,2.4,4.0,Inline
2012,BMW,6,121000.0,Coupe,Automatic,4X4,red,brown,4,2,gasoline,24777,13.5,8.3,2.4,8.0,Inline
2015,BMW,X3,116792.0,SUV,Automatic,4X4,white,brown,5,4,gasoline,24900,11.1,8.4,2.4,4.0,Inline
2016,BMW,2,109045.0,Coupe,Automatic,4X4,blue,black,4,2,gasoline,24990,10.4,6.8,2.4,4.0,Inline
2015,BMW,X5,134725.0,SUV,Automatic,4X4,gray,brown,5,4,gasoline,25450,13.0,8.9,2.4,6.0,Inline
2015,BMW,5,87817.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,25480,10.8,8.7,2.0,4.0,Other
2016,BMW,5,126000.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,25480,10.5,6.9,2.0,4.0,Other
2016,BMW,4,96000.0,Coupe,Automatic,4X4,black,red,4,2,gasoline,25777,10.7,6.9,2.4,4.0,Inline
2017,BMW,X1,79199.0,SUV,Automatic,4X4,black,black,5,4,gasoline,25825,10.5,7.4,2.4,4.0,Inline
2016,BMW,3,67825.0,Sedan,Automatic,4X4,black,brown,5,4,gasoline,25890,10.5,6.9,2.4,4.0,Inline
2019,BMW,X5,34086.0,SUV,Automatic,4X4,gray,black,7,4,gasoline,73995,11.7,9.1,2.4,6.0,Inline
2016,BMW,X3,107000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,25950,12.4,8.7,2.4,6.0,Inline
2016,BMW,X3,110884.0,SUV,Automatic,4X4,white,black,5,4,gasoline,25980,11.1,8.4,2.0,4.0,Other
2016,BMW,4,94736.0,Coupe,Automatic,4X4,black,black,4,2,gasoline,25990,10.7,7.1,2.4,4.0,Inline
2018,BMW,X1,115000.0,Wagon,Automatic,4X4,white,brown,5,4,gasoline,26850,10.8,8.7,2.4,4.0,Inline
2016,BMW,4,106319.0,Coupe,Automatic,4X4,white,red,5,4,gasoline,26888,10.6,7.2,2.4,4.0,Inline
2018,BMW,X1,71919.0,Wagon,Automatic,4X4,black,black,5,4,gasoline,26900,10.5,7.4,2.4,4.0,Inline
2018,BMW,328d,120309.0,Sedan,Automatic,4X4,silver,black,5,4,diesel,26901,7.9,5.9,2.4,4.0,Inline
2018,BMW,X3,119012.0,SUV,Automatic,4X4,black,black,5,4,gasoline,26985,10.8,8.0,2.4,4.0,Inline
2017,BMW,3,97203.0,Sedan,Automatic,RWD,black,black,5,4,electric,26990,0.0,6.9,2.4,0.0,Electric
2018,BMW,X3,87043.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,40886,11.7,8.6,3.0,4.0,Inline
2016,BMW,X3,97723.0,SUV,Automatic,4X4,black,black,5,4,gasoline,26995,11.1,8.4,2.0,4.0,Inline
2016,BMW,X4,156000.0,SUV,Automatic,4X4,gray,brown,5,4,gasoline,26995,12.7,8.8,2.4,6.0,Inline
2015,BMW,435i,174532.0,Convertible,Automatic,4X4,black,beige,4,4,gasoline,26998,12.1,8.1,2.4,6.0,Inline
2017,BMW,X3,119000.0,SUV,Automatic,4X4,white,black,5,4,gasoline,27450,10.8,8.7,2.4,4.0,Inline
2018,BMW,3,113000.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,27850,10.2,7.2,2.0,4.0,Other
2017,BMW,X1,70554.0,SUV,Automatic,4X4,white,black,5,4,gasoline,27950,10.7,7.4,2.0,4.0,Inline
2016,BMW,3,52000.0,Sedan,Automatic,4X4,blue,brown,5,4,gasoline,27950,10.5,6.9,2.0,4.0,Other
2018,BMW,X3,138416.0,SUV,Automatic,4X4,white,black,5,4,gasoline,27985,10.8,8.0,2.4,4.0,Inline
2016,BMW,4,125661.0,Coupe,Automatic,4X4,blue,black,5,4,gasoline,27990,11.8,7.6,2.4,6.0,Inline
2018,BMW,4,108880.0,Hatchback,Automatic,4X4,white,black,5,4,gasoline,32648,11.2,7.6,2.4,4.0,Other
2017,BMW,X1,64854.0,SUV,Automatic,4X4,gray,brown,5,4,gasoline,27990,10.5,7.4,2.4,4.0,Inline
2016,BMW,X3,125749.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,27995,12.7,8.8,3.0,6.0,Inline
2017,BMW,530i,169499.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,27998,10.5,7.4,2.4,4.0,Inline
2016,BMW,4,92000.0,Coupe,Automatic,4X4,black,red,4,2,gasoline,28295,10.6,7.2,2.0,4.0,Inline
2018,BMW,X3,135979.0,SUV,Automatic,4X4,white,brown,5,4,gasoline,28500,10.8,8.0,2.0,4.0,Inline
2016,BMW,i3,24300.0,Hatchback,Automatic,RWD,orange,brown,4,4,electric,28888,0.0,8.7,0.0,0.0,Electric
2019,BMW,X1,96620.0,Wagon,Automatic,4X4,gray,black,5,4,gasoline,28910,10.7,7.5,2.4,4.0,Inline
2016,BMW,4,151000.0,Coupe,Automatic,4X4,black,black,4,2,gasoline,28990,11.9,7.8,3.0,4.0,Other
2018,BMW,3,145955.0,Wagon,Automatic,4X4,black,black,5,4,diesel,28995,7.9,5.9,2.4,4.0,Inline
2020,BMW,X7,54000.0,SUV,Automatic,4X4,white,black,5,2,gasoline,87900,12.0,9.4,3.0,6.0,Inline
2018,BMW,3,90532.0,Sedan,Automatic,4X4,gray,black,5,4,gasoline,29480,10.2,7.2,2.0,4.0,Other
2018,BMW,X1,97308.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,29480,10.5,7.4,2.0,4.0,Other
2018,BMW,X1,68150.0,SUV,Automatic,4X4,gray,brown,5,4,gasoline,29590,10.5,7.4,2.4,4.0,Inline
2018,BMW,330I,37996.0,Sedan,Automatic,4X4,white,brown,5,4,gasoline,29880,10.2,7.2,2.4,4.0,Inline
2017,BMW,X3,92000.0,SUV,Automatic,4X4,white,black,5,4,gasoline,29880,11.1,8.5,2.0,4.0,Other
2019,BMW,4,94057.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,29900,10.5,7.4,2.4,4.0,Inline
2018,BMW,X1,65000.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,29995,10.5,7.4,2.4,4.0,Inline
2018,BMW,328d,48773.0,Sedan,Automatic,4X4,white,black,5,2,diesel,30480,7.8,5.9,2.0,4.0,Inline
2017,BMW,2-Series,82223.0,Convertible,Automatic,4X4,blue,black,5,2,gasoline,30800,10.5,7.4,2.4,4.0,Inline
2022,BMW,X5,17246.0,SUV,Automatic,4X4,black,black,5,4,gasoline,79800,10.8,8.7,2.4,6.0,Inline
2018,BMW,3,81093.0,Sedan,Automatic,4X4,gray,brown,5,4,diesel,30888,7.8,5.9,2.0,4.0,Other
2018,BMW,X1,13188.0,Wagon,Automatic,4X4,silver,black,5,4,gasoline,30900,10.7,7.5,2.4,4.0,Inline
2018,BMW,3,71000.0,Sedan,Automatic,4X4,black,black,5,4,diesel,30950,7.8,5.9,2.0,4.0,Other
2018,BMW,X1,39966.0,Wagon,Automatic,4X4,black,black,5,2,gasoline,30990,10.8,8.7,2.0,4.0,Inline
2018,BMW,X2,51852.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,30997,10.8,8.7,2.0,4.0,Inline
2019,BMW,430i,102211.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,30998,10.2,7.2,2.4,4.0,Inline
2018,BMW,X1,68190.0,SUV,Automatic,4X4,black,black,5,4,gasoline,30999,10.7,7.5,2.0,4.0,V-Engine
2017,BMW,X3,68814.0,SUV,Automatic,4X4,black,black,5,4,gasoline,31900,11.2,8.4,2.4,4.0,Inline
2018,BMW,X2,61382.0,Wagon,Automatic,4X4,blue,black,5,4,gasoline,31900,11.0,7.7,2.4,4.0,Inline
2022,BMW,X6,5280.0,SUV,Automatic,4X4,black,black,5,4,gasoline,141800,17.9,13.0,2.4,8.0,Inline
2019,BMW,X1,52000.0,Wagon,Automatic,4X4,silver,black,5,4,gasoline,31950,10.7,7.5,2.4,4.0,Inline
2018,BMW,430i,77541.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,31950,10.5,7.4,2.0,4.0,Other
2018,BMW,X2,38933.0,SUV,Automatic,4X4,black,red,5,2,gasoline,31980,11.0,7.7,2.0,4.0,Inline
2017,BMW,X3,61000.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,31990,11.2,8.4,2.4,4.0,Inline
2017,BMW,440,115296.0,Hatchback,Automatic,4X4,blue,black,5,4,gasoline,31995,10.8,8.7,3.0,6.0,Inline
2019,BMW,4,104664.0,Sedan,Automatic,4X4,blue,black,5,4,gasoline,32500,10.5,7.4,2.4,4.0,Inline
2019,BMW,X1,39043.0,Wagon,Automatic,4X4,white,black,5,4,gasoline,32504,10.7,7.5,2.0,4.0,Inline
2017,BMW,X3,58809.0,SUV,Automatic,4X4,black,black,5,4,gasoline,32800,11.1,8.5,2.4,4.0,Inline
2020,BMW,2,68893.0,Coupe,Automatic,4X4,black,black,5,4,gasoline,32800,9.9,7.1,2.4,4.0,Inline
2018,BMW,X5,75620.0,SUV,Automatic,4X4,black,black,5,2,gasoline,46209,13.0,9.8,3.0,6.0,Inline
2016,BMW,X5,134694.0,SUV,Automatic,4X4,white,brown,7,4,gasoline,32985,15.7,11.4,2.4,8.0,Inline
2019,BMW,X3,109666.0,SUV,Automatic,4X4,black,brown,4,4,gasoline,33495,10.8,8.0,2.0,4.0,Inline
2018,BMW,X4,101000.0,SUV,Automatic,4X4,black,white,5,4,gasoline,33750,11.8,8.6,2.0,4.0,Other
2017,BMW,2-Series,52296.0,Convertible,Automatic,4X4,black,black,5,2,gasoline,33800,10.5,7.4,2.4,4.0,Inline
2012,BMW,6,83400.0,Convertible,Automatic,RWD,silver,white,5,2,gasoline,33888,13.6,8.3,4.4,4.0,Other
2019,BMW,4,84226.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,33900,10.5,7.4,2.4,4.0,Inline
2018,BMW,X2,23464.0,Wagon,Automatic,4X4,white,black,5,4,gasoline,34126,11.0,7.7,2.4,4.0,Inline
2017,BMW,2,33069.0,Convertible,Automatic,4X4,white,black,5,4,gasoline,34399,10.5,7.4,2.4,4.0,Inline
2018,BMW,5,114000.0,Sedan,Automatic,4X4,gray,black,5,4,gasoline,34450,10.2,7.2,2.0,4.0,Other
2021,BMW,230,2193.0,Coupe,Automatic,4X4,black,black,4,2,gasoline,46950,11.2,7.7,2.0,4.0,Inline
2016,BMW,X5,78643.0,SUV,Automatic,4X4,gray,black,5,4,diesel,34495,10.0,7.6,2.4,6.0,Inline
2019,BMW,3,50000.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,34777,9.5,6.9,2.4,4.0,Inline
2018,BMW,4-Series,33175.0,Coupe,Automatic,4X4,white,black,5,2,gasoline,34800,10.5,7.4,2.4,4.0,Inline
2017,BMW,X5,68200.0,SUV,Automatic,4X4,white,black,7,4,gasoline,34888,13.0,9.7,2.4,6.0,Inline
2015,BMW,435i,103339.0,Convertible,Automatic,4X4,black,black,4,2,gasoline,34888,12.1,8.1,2.4,6.0,Inline
2016,BMW,X5,116894.0,SUV,Automatic,4X4,silver,black,5,4,diesel,34888,10.0,7.6,2.4,6.0,Inline
2019,BMW,X5,82978.0,SUV,Automatic,4X4,white,white,5,2,gasoline,54980,10.8,8.7,3.0,6.0,Inline
2021,BMW,M3,13900.0,Sedan,Automatic,RWD,gray,black,5,4,gasoline,109800,10.8,8.7,2.4,6.0,Inline
2016,BMW,428i,108862.0,Sedan,Automatic,4X4,white,red,5,4,gasoline,26999,10.6,7.2,2.0,4.0,Inline
2011,BMW,X5,195000.0,SUV,Automatic,4X4,black,black,5,4,diesel,14995,10.8,8.7,2.4,4.0,Inline
2018,BMW,5,63000.0,Sedan,Automatic,4X4,blue,black,5,4,hybrid,42500,10.8,8.7,2.4,4.0,Inline
2018,BMW,M3,36512.0,Sedan,Automatic,RWD,white,black,5,4,gasoline,68000,10.8,8.7,2.4,4.0,Inline
2018,BMW,X1,100801.0,Wagon,Automatic,4X4,white,black,5,4,gasoline,27990,10.7,7.5,2.4,4.0,Inline
2019,BMW,X6,40246.0,SUV,Automatic,4X4,black,black,5,4,gasoline,77898,16.6,12.1,2.4,8.0,Inline
2012,BMW,535i,168570.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,16950,9.7,6.6,2.4,6.0,Inline
2018,BMW,4,42097.0,Sedan,Automatic,4X4,white,black,5,2,gasoline,34980,10.5,7.4,2.0,4.0,Inline
2017,BMW,X5,129000.0,SUV,Automatic,4X4,gray,black,5,4,diesel,34995,10.3,8.0,2.4,6.0,Inline
2018,BMW,540,110685.0,Sedan,Automatic,4X4,blue,brown,5,4,gasoline,34998,11.6,8.1,2.4,6.0,Inline
2019,BMW,X3,132739.0,SUV,Automatic,4X4,black,black,5,4,gasoline,35195,10.8,8.0,2.4,4.0,Inline
2021,BMW,X3,64181.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,46500,10.2,8.2,2.4,4.0,Inline
2017,BMW,4,66852.0,Hatchback,Automatic,4X4,white,black,5,4,gasoline,35795,11.4,7.8,3.0,6.0,Inline
2018,BMW,X3,69998.0,SUV,Automatic,4X4,white,black,5,4,gasoline,35888,10.8,8.0,2.4,4.0,Inline
2017,BMW,540,92251.0,Sedan,Automatic,4X4,blue,blue,5,4,gasoline,35888,11.4,7.8,2.4,6.0,Inline
2018,BMW,X5,73674.0,SUV,Automatic,4X4,black,black,5,4,gasoline,35900,13.0,9.8,2.4,6.0,Inline
2017,BMW,5,105000.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,35950,10.5,7.4,2.0,4.0,Other
2017,BMW,X4,128000.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,35950,12.7,9.1,3.0,4.0,Inline
2019,BMW,X3,112000.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,35950,10.8,8.0,2.4,4.0,Inline
2018,BMW,X2,30501.0,SUV,Automatic,4X4,yellow,black,5,4,gasoline,35988,10.8,8.7,2.0,4.0,Inline
2018,BMW,X5,123735.0,SUV,Automatic,4X4,gray,black,5,4,diesel,35998,10.3,8.0,2.4,6.0,Inline
2015,BMW,M4,65917.0,Coupe,Automatic,RWD,black,black,4,2,gasoline,57995,10.8,8.7,2.4,6.0,Inline
2017,BMW,X5,69988.0,SUV,Automatic,4X4,white,black,5,4,gasoline,36000,13.0,9.7,3.0,6.0,Inline
2018,BMW,540I,123238.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,36295,11.4,7.8,3.0,6.0,Inline
2018,BMW,X5,79987.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,36880,13.0,9.8,2.4,6.0,Inline
2018,BMW,X5,138933.0,SUV,Automatic,4X4,black,black,5,4,diesel,36888,10.3,8.0,2.4,6.0,Inline
2018,BMW,328d,110512.0,Wagon,Automatic,4X4,blue,red,5,4,diesel,36888,7.8,5.9,2.4,4.0,Inline
2019,BMW,4,42500.0,Sedan,Automatic,4X4,gray,black,5,4,gasoline,36888,10.2,7.2,2.0,4.0,Other
2017,BMW,X5,99108.0,SUV,Automatic,4X4,black,brown,5,4,diesel,36899,10.3,8.0,3.0,6.0,Inline
2019,BMW,3,68224.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,36900,10.8,8.7,2.4,4.0,Inline
2019,BMW,4,39411.0,Coupe,Automatic,4X4,white,black,5,2,gasoline,36980,10.8,8.7,2.0,4.0,Inline
2022,BMW,X5,22679.0,SUV,Automatic,4X4,black,blue,7,4,hybrid,83499,10.8,8.7,2.4,6.0,Inline
2019,BMW,4,40500.0,Coupe,Automatic,4X4,white,black,4,2,gasoline,36990,10.2,7.2,2.4,4.0,Inline
2017,BMW,X5,70861.0,SUV,Automatic,4X4,gray,black,7,4,gasoline,37500,13.0,9.8,2.4,6.0,Inline
2019,BMW,3,54690.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,37776,9.5,6.9,2.0,4.0,Inline
2019,BMW,3,57000.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,37777,10.8,8.7,2.4,4.0,Inline
2019,BMW,330I,41219.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,37846,9.5,6.9,2.4,4.0,Inline
2019,BMW,4,37756.0,Sedan,Automatic,4X4,white,red,5,2,gasoline,37980,10.2,7.2,2.0,4.0,Inline
2015,BMW,X5,62000.0,SUV,Automatic,4X4,white,black,5,4,gasoline,38480,16.8,10.7,4.4,4.0,Other
2018,BMW,530I,78000.0,Sedan,Automatic,4X4,gray,black,5,4,gasoline,38800,10.2,7.2,2.0,4.0,Other
2015,BMW,M4,149996.0,Coupe,Automatic,RWD,gray,black,4,2,gasoline,38888,13.7,9.0,3.0,4.0,Other
2021,BMW,2,21243.0,Sedan,Automatic,4X4,blue,black,5,4,gasoline,44899,10.4,7.7,2.4,4.0,Inline
2019,BMW,3,56562.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,38889,10.8,8.7,2.0,4.0,Inline
2019,BMW,X3,40674.0,SUV,Automatic,4X4,black,black,5,4,gasoline,38900,10.8,8.0,2.4,4.0,Inline
2019,BMW,X3,71986.0,SUV,Automatic,4X4,white,black,5,4,gasoline,38900,10.8,8.0,2.4,4.0,Inline
2018,BMW,X5,129757.0,SUV,Automatic,4X4,black,black,5,4,gasoline,38900,15.6,11.3,4.4,8.0,Inline
2018,BMW,X5,102000.0,SUV,Automatic,4X4,white,black,5,4,gasoline,39000,13.0,9.8,3.0,4.0,Other
2018,BMW,X5,79349.0,SUV,Automatic,4X4,red,black,5,4,gasoline,39800,13.0,9.8,2.4,6.0,Inline
2019,BMW,5,81700.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,39888,10.2,7.2,2.0,4.0,Other
2017,BMW,7,129542.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,39888,13.8,9.1,2.4,8.0,Inline
2020,BMW,4,42341.0,Coupe,Automatic,4X4,black,black,5,4,gasoline,39989,10.2,7.2,2.0,4.0,Inline
2020,BMW,X3,25115.0,SUV,Automatic,4X4,red,black,5,4,gasoline,79999,10.8,8.7,2.4,6.0,Inline
2018,BMW,340i,77154.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,39999,11.1,7.5,2.4,6.0,Inline
2018,BMW,340i,74880.0,Sedan,Automatic,4X4,blue,black,5,4,gasoline,39999,11.1,7.5,2.4,6.0,Inline
2018,BMW,X3,97791.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,40385,11.7,8.6,2.4,6.0,Inline
2020,BMW,330I,59865.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,40847,9.5,6.9,2.4,4.0,Inline
2020,BMW,X3,83940.0,SUV,Automatic,4X4,black,black,5,4,gasoline,40888,10.0,8.2,2.0,4.0,Other
2018,BMW,4,90520.0,Coupe,Automatic,RWD,white,red,4,2,gasoline,40888,11.1,7.8,3.0,4.0,Other
2020,BMW,330I,47714.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,41288,9.5,6.9,2.4,4.0,Inline
2021,BMW,X3,66243.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,41539,10.2,8.2,2.0,4.0,Inline
2019,BMW,X3,29521.0,SUV,Automatic,4X4,black,black,5,4,gasoline,41701,10.8,8.0,2.4,4.0,Inline
2019,BMW,X4,70209.0,SUV,Automatic,4X4,red,black,5,2,gasoline,42988,10.8,8.0,2.0,4.0,Inline
2018,BMW,X3,62000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,41799,11.7,8.6,3.0,4.0,Other
2018,BMW,X5,77662.0,SUV,Automatic,4X4,red,black,5,4,diesel,41800,10.3,8.0,2.4,6.0,Inline
2019,BMW,X3,58324.0,SUV,Automatic,4X4,white,black,5,4,gasoline,41888,10.8,8.0,2.0,4.0,Inline
2020,BMW,X3,74002.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,41888,10.0,8.2,2.0,4.0,Other
2020,BMW,330i,45500.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,41888,9.5,6.9,2.4,4.0,Inline
2018,BMW,X3,95921.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,41901,11.7,8.6,2.4,6.0,Inline
2019,BMW,230,43630.0,Convertible,Automatic,4X4,black,black,5,2,gasoline,42280,10.2,7.2,2.0,4.0,Inline
2022,BMW,X1,19288.0,Wagon,Automatic,4X4,black,black,5,4,gasoline,42400,10.3,7.7,2.4,4.0,Inline
2022,BMW,X1,20022.0,Wagon,Automatic,4X4,black,black,5,4,gasoline,42500,10.3,7.7,2.4,4.0,Inline
2020,BMW,M5,32663.0,Sedan,Automatic,4X4,blue,black,5,2,gasoline,120999,10.8,8.7,4.4,8.0,Inline
2022,BMW,X1,25473.0,Wagon,Automatic,4X4,gray,black,5,4,gasoline,42700,10.3,7.7,2.4,4.0,Inline
2019,BMW,X3,69552.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,42888,11.9,8.7,2.4,6.0,Inline
2022,BMW,X1,16253.0,Wagon,Automatic,4X4,blue,black,5,4,gasoline,42900,10.3,7.7,2.4,4.0,Inline
2019,BMW,4,64962.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,42900,11.4,7.6,2.4,6.0,Inline
2018,BMW,X3,12619.0,SUV,Automatic,4X4,white,black,5,4,gasoline,42901,10.8,8.0,2.4,4.0,Inline
2018,BMW,5,81631.0,Sedan,Automatic,4X4,blue,black,5,4,diesel,42950,10.8,8.7,3.0,4.0,Other
2020,BMW,X3,69417.0,SUV,Automatic,4X4,black,black,5,2,gasoline,42980,10.0,8.2,2.0,4.0,Inline
2019,BMW,4,88471.0,Convertible,Automatic,4X4,gray,black,5,2,gasoline,42995,10.6,7.3,2.0,4.0,Inline
2022,BMW,X1,18955.0,Wagon,Automatic,4X4,gray,black,5,4,gasoline,43400,10.3,7.7,2.4,4.0,Inline
2015,BMW,435i,112061.0,Convertible,Automatic,4X4,black,white,5,2,gasoline,34999,10.8,8.7,3.0,6.0,Inline
2018,BMW,X5,85857.0,SUV,Automatic,4X4,white,brown,5,4,gasoline,43888,13.0,9.8,3.0,4.0,Other
2018,BMW,X5,41170.0,SUV,Automatic,4X4,gray,black,5,4,hybrid,44350,10.2,9.5,0.0,0.0,Electric
2020,BMW,X3,23577.0,SUV,Automatic,4X4,gray,black,5,2,gasoline,44480,10.0,8.2,2.0,4.0,Inline
2020,BMW,X3,41968.0,SUV,Automatic,4X4,black,black,5,4,gasoline,44785,10.0,8.2,2.4,4.0,Inline
2018,BMW,540d,101000.0,Sedan,Automatic,4X4,black,black,5,4,diesel,44888,10.8,8.7,3.0,4.0,Other
2019,BMW,5,41223.0,Sedan,Automatic,4X4,gray,black,5,4,gasoline,44890,10.2,7.2,2.0,4.0,Other
2022,BMW,3,35682.0,Sedan,Automatic,4X4,orange,black,5,4,gasoline,44900,9.5,6.9,2.4,4.0,Inline
2018,BMW,M550i,116791.0,Sedan,Automatic,4X4,gray,beige,5,4,gasoline,44988,14.3,9.4,2.4,8.0,Inline
2020,BMW,X4,83985.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,45650,10.0,8.2,2.0,4.0,Inline
2021,BMW,X7,65812.0,SUV,Automatic,4X4,white,black,5,4,gasoline,89800,10.8,8.7,2.4,6.0,Inline
2019,BMW,530I,58957.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,45801,10.2,7.2,2.4,4.0,Inline
2019,BMW,X4,86688.0,SUV,Automatic,4X4,white,red,5,4,gasoline,45888,10.8,8.0,2.4,4.0,Inline
2019,BMW,X4,43928.0,SUV,Automatic,4X4,red,black,5,4,gasoline,45898,10.8,8.0,2.0,4.0,Inline
2015,BMW,M3,113704.0,Sedan,Automatic,RWD,black,black,5,4,gasoline,45950,10.8,8.7,3.0,4.0,Other
