year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type
2017,Acura,MDX,97000.0,SUV,Automatic,4X4,gray,gray,7,4,gasoline,33777,12.6,9.0,2.4,6.0,V-Engine
2019,Acura,MDX,116802.0,SUV,Automatic,4X4,black,black,5,4,gasoline,33795,12.2,9.0,3.5,6.0,V-Engine
2019,Acura,TLX,38069.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,33888,11.4,7.7,2.4,6.0,V-Engine
2017,Acura,MDX,91412.0,SUV,Automatic,4X4,black,black,5,4,gasoline,33994,12.6,9.0,2.4,6.0,V-Engine
2019,Acura,RDX,114612.0,SUV,Automatic,4X4,red,black,5,4,gasoline,34390,11.3,9.1,2.4,4.0,Inline
2018,Acura,MDX,118800.0,SUV,Automatic,4X4,black,brown,5,4,gasoline,34488,12.6,9.0,3.5,4.0,Other
2018,Acura,MDX,82000.0,SUV,Automatic,4X4,black,brown,7,4,gasoline,34777,12.6,9.0,2.4,6.0,V-Engine
2017,Acura,MDX,91412.0,SUV,Automatic,4X4,black,black,5,4,gasoline,33994,12.6,9.0,2.4,6.0,V-Engine
2019,Acura,MDX,141120.0,SUV,Automatic,4X4,black,black,7,4,gasoline,34880,12.2,9.25,2.4,6.0,V-Engine
2018,Acura,MDX,98000.0,SUV,Automatic,4X4,white,black,7,4,gasoline,34950,12.6,9.0,2.4,6.0,V-Engine
2018,Acura,RLX,115527.0,Sedan,Automatic,4X4,black,gray,5,4,gasoline,34998,8.4,8.2,2.4,6.0,V-Engine
2019,Acura,MDX,102000.0,SUV,Automatic,4X4,black,black,7,4,gasoline,35480,12.2,9.0,3.5,4.0,Other
2019,Acura,RDX,102000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,35850,11.0,8.6,2.4,4.0,Inline
2019,Acura,RDX,79032.0,SUV,Automatic,4X4,white,beige,5,4,gasoline,35990,11.0,8.6,2.0,4.0,Inline
2021,Acura,ILX,9209.0,Sedan,Automatic,FWD,white,red,5,4,gasoline,35995,9.8,6.9,2.4,4.0,Inline
2019,Acura,MDX,78702.0,SUV,Automatic,4X4,red,black,5,4,gasoline,35995,12.2,9.25,3.5,6.0,V-Engine
2018,Acura,MDX,77127.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,36486,12.6,9.0,2.4,6.0,V-Engine
2018,Acura,MDX,94862.0,SUV,Automatic,4X4,black,black,7,4,gasoline,34743,12.6,9.0,2.4,4.0,Other
2019,Acura,RDX,75420.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,36995,11.0,8.6,2.0,4.0,Inline
2020,Acura,RDX,65795.0,SUV,Automatic,4X4,black,black,5,4,gasoline,37495,11.0,8.6,2.0,4.0,Inline
2019,Acura,MDX,76885.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,37495,12.2,9.25,3.5,6.0,V-Engine
2019,Acura,RDX,68263.0,SUV,Automatic,4X4,white,black,5,4,gasoline,37498,11.0,8.6,2.4,4.0,Inline
2019,Acura,MDX,79344.0,SUV,Automatic,4X4,black,black,7,4,gasoline,37888,12.2,9.25,3.5,6.0,Inline
2019,Acura,RDX,75786.0,SUV,Automatic,4X4,white,black,5,4,gasoline,38388,11.3,9.1,2.4,4.0,Inline
2019,Acura,RDX,61006.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,39088,11.3,9.1,2.4,4.0,Inline
2020,Acura,RDX,48759.0,SUV,Automatic,4X4,white,black,5,4,gasoline,39295,11.0,8.6,2.0,4.0,Inline
2020,Acura,RDX,88483.0,SUV,Automatic,4X4,silver,red,5,4,gasoline,39588,11.3,9.1,2.4,4.0,Inline
2018,Acura,ILX,33810.0,Sedan,Automatic,FWD,silver,black,5,4,gasoline,26988,9.4,6.8,2.4,4.0,Inline
2020,Acura,TLX,52337.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,39799,12.0,8.2,2.4,6.0,V-Engine
2020,Acura,RDX,99000.0,SUV,Automatic,4X4,white,black,5,4,gasoline,39850,11.3,9.1,2.4,4.0,Inline
2020,Acura,RDX,83981.0,SUV,Automatic,4X4,silver,red,5,4,gasoline,39890,11.3,9.1,2.4,4.0,Inline
2019,Acura,MDX,78000.0,SUV,Automatic,4X4,black,black,7,4,gasoline,39995,12.2,9.0,2.4,6.0,Inline
2019,Acura,MDX,67208.0,SUV,Automatic,4X4,white,black,5,4,gasoline,40495,12.2,9.0,3.5,6.0,V-Engine
2020,Acura,RDX,96233.0,SUV,Automatic,4X4,black,black,5,4,gasoline,40888,11.3,9.1,2.0,4.0,Inline
2019,Acura,RDX,33032.0,SUV,Automatic,4X4,white,black,5,4,gasoline,40888,11.0,8.6,2.0,4.0,Inline
2020,Acura,MDX,53960.0,SUV,Automatic,4X4,silver,red,7,4,gasoline,40990,12.2,9.5,2.4,6.0,V-Engine
